Nickname,Player Details,Final Score,Show Info
Kelly,"Kelly Sullivan, an actuary from Glen Allen, Virginia","$7,400 ","J! Archive - Show #7537, aired 2017-05-23"
Ragavan,"Ragavan Ramsubramani, a financial analyst from New York, New York (whose 3-day cash winnings total $54,603)",$1 ,"J! Archive - Show #7536, aired 2017-05-22"
Justin,"Justin Braddock, a power engineer from Chattanooga, Tennessee","$10,000 ","J! Archive - Show #7536, aired 2017-05-22"
Tanya,"Tanya Obreiter, a cell biologist from Frederick, Maryland","$34,805 ","J! Archive - Show #7536, aired 2017-05-22"
David,"David Clemmons, an 11th grade U.S. history teacher from Fort Worth, Texas (subtotal of $10,000)","$36,000 ","J! Archive - Show #7535, aired 2017-05-19"
Nan,"Nan Cohen, a high school English teacher from Van Nuys, California (subtotal of $9,000)","$17,800 ","J! Archive - Show #7535, aired 2017-05-19"
Mary,"Mary Parker, a high school French & English teacher from Rogers, Arkansas (subtotal of $3,600)","$15,200 ","J! Archive - Show #7535, aired 2017-05-19"
David,"David Clemmons, an 11th grade U.S. history teacher from Fort Worth, Texas","$10,000 ","J! Archive - Show #7534, aired 2017-05-18"
Nan,"Nan Cohen, a high school English teacher from Van Nuys, California","$9,000 ","J! Archive - Show #7534, aired 2017-05-18"
Mary,"Mary Parker, a high school French & English teacher from Rogers, Arkansas","$3,600 ","J! Archive - Show #7534, aired 2017-05-18"
Mary,"Mary Parker, a high school French & English teacher from Rogers, Arkansas","$13,700 ","J! Archive - Show #7533, aired 2017-05-17"
Michael,"Michael Camp, a high school Spanish teacher from Chicago, Illinois","$2,000 ","J! Archive - Show #7533, aired 2017-05-17"
Holly,"Holly Cannon, a high school chemistry teacher from Klein, Texas","$6,400 ","J! Archive - Show #7533, aired 2017-05-17"
Nan,"Nan Cohen, a high school English teacher from Van Nuys, California","$23,601 ","J! Archive - Show #7532, aired 2017-05-16"
Susannah,"Susannah Nichols, a high school English teacher from Ferndale, Michigan","$12,600 ","J! Archive - Show #7532, aired 2017-05-16"
Eduardo,"Eduardo Sevilla, an 8th through 12th grade math teacher from Vienna, Virginia","$18,201 ","J! Archive - Show #7532, aired 2017-05-16"
Gail,"Gail Ansheles, a kindergarten teacher from Santa Fe, New Mexico","$25,200 ","J! Archive - Show #7531, aired 2017-05-15"
Sara,"Sara Holub, a high school choir teacher from Green Bay, Wisconsin","$27,600 ","J! Archive - Show #7531, aired 2017-05-15"
David,"David Clemmons, an 11th grade U.S. history teacher from Fort Worth, Texas","$12,600 ","J! Archive - Show #7531, aired 2017-05-15"
Holly,"Holly Cannon, a high school chemistry teacher from Klein, Texas","$12,000 ","J! Archive - Show #7530, aired 2017-05-12"
Susannah,"Susannah Nichols, a high school English teacher from Ferndale, Michigan","$19,000 ","J! Archive - Show #7530, aired 2017-05-12"
Dennis,"Dennis McDonald, an elementary school math teacher from New Windsor, Maryland","$11,100 ","J! Archive - Show #7530, aired 2017-05-12"
Michael,"Michael Camp, a high school Spanish teacher from Chicago, Illinois","$14,800 ","J! Archive - Show #7529, aired 2017-05-11"
Nan,"Nan Cohen, a high school English teacher from Van Nuys, California","$22,801 ","J! Archive - Show #7529, aired 2017-05-11"
Lindsey,"Lindsey Henry, a 1st grade teacher from Waco, Texas",$1 ,"J! Archive - Show #7529, aired 2017-05-11"
David,"David Clemmons, an 11th grade U.S. history teacher from Fort Worth, Texas","$10,800 ","J! Archive - Show #7528, aired 2017-05-10"
Stephanie,"Stephanie Mitchell, an 8th grade language arts teacher from Effingham, Illinois","$4,800 ","J! Archive - Show #7528, aired 2017-05-10"
Cody,"Cody Vest, a high school English teacher from Fayetteville, Arkansas","$6,800 ","J! Archive - Show #7528, aired 2017-05-10"
Sara,"Sara Holub, a high school choir teacher from Green Bay, Wisconsin","$14,400 ","J! Archive - Show #7527, aired 2017-05-09"
Mary,"Mary Parker, a high school French & English teacher from Rogers, Arkansas","$26,650 ","J! Archive - Show #7527, aired 2017-05-09"
Eduardo,"Eduardo Sevilla, an 8th through 12th grade math teacher from Vienna, Virginia","$12,005 ","J! Archive - Show #7527, aired 2017-05-09"
Gail,"Gail Ansheles, a kindergarten teacher from Santa Fe, New Mexico","$15,800 ","J! Archive - Show #7526, aired 2017-05-08"
George,"George Deane, a high school humanities teacher from Colchester, Vermont","$2,100 ","J! Archive - Show #7526, aired 2017-05-08"
Graham,"Graham Toben, a middle school English teacher from Portola Valley, California","$8,400 ","J! Archive - Show #7526, aired 2017-05-08"
Ragavan,"Ragavan Ramsubramani, a financial analyst from New York, New York (whose 2-day cash winnings total $41,602)","$13,001 ","J! Archive - Show #7525, aired 2017-05-05"
Rich,"Rich Steeves, a manager of commercial support content from Norwalk, Connecticut",$0 ,"J! Archive - Show #7525, aired 2017-05-05"
Seth,"Seth Madej, a writer from Los Angeles, California","$1,999 ","J! Archive - Show #7525, aired 2017-05-05"
Ragavan,"Ragavan Ramsubramani, a financial analyst from New York, New York (whose 1-day cash winnings total $20,401)","$21,201 ","J! Archive - Show #7524, aired 2017-05-04"
Erin,"Erin Wilson, a professor from Baltimore, Maryland","$21,200 ","J! Archive - Show #7524, aired 2017-05-04"
Laura,"Laura Spoelstra, a library media center technician from San Jose, California","$4,399 ","J! Archive - Show #7524, aired 2017-05-04"
Liz,"Liz Fischer, an attorney from Philadelphia, Pennsylvania (whose 1-day cash winnings total $25,601)","$20,401 ","J! Archive - Show #7523, aired 2017-05-03"
Krista,"Krista Denn, a human resources manager from Brooklyn Park, Minnesota","$10,200 ","J! Archive - Show #7523, aired 2017-05-03"
Ragavan,"Ragavan Ramsubramani, a financial analyst from New York, New York","$1,800 ","J! Archive - Show #7523, aired 2017-05-03"
Alan,"Alan Lin, a software engineer from Santa Barbara, California (whose 6-day cash winnings total $123,600)","$18,700 ","J! Archive - Show #7522, aired 2017-05-02"
Chris,"Chris Burke, a social studies teacher from Toms River, New Jersey",$400 ,"J! Archive - Show #7522, aired 2017-05-02"
Liz,"Liz Fischer, an attorney from Philadelphia, Pennsylvania","$25,601 ","J! Archive - Show #7522, aired 2017-05-02"
Alan,"Alan Lin, a software engineer from Santa Barbara, California (whose 5-day cash winnings total $108,800)","$14,800 ","J! Archive - Show #7521, aired 2017-05-01"
Matt,"Matt Cohen, an electrical engineer from Weehawken, New Jersey","$7,199 ","J! Archive - Show #7521, aired 2017-05-01"
Meghan,"Meghan Treptow, an artist from Chicago, Illinois","$3,800 ","J! Archive - Show #7521, aired 2017-05-01"
Alan,"Alan Lin, a software engineer from Santa Barbara, California (whose 4-day cash winnings total $84,400)","$24,400 ","J! Archive - Show #7520, aired 2017-04-28"
Rachel,"Rachel Snyder, a writer from Grand Rapids, Michigan","$2,000 ","J! Archive - Show #7520, aired 2017-04-28"
Kevin,"Kevin McCarthy, a postal clerk from Lincoln, Rhode Island","$9,001 ","J! Archive - Show #7520, aired 2017-04-28"
Alan,"Alan Lin, a software engineer from Santa Barbara, California (whose 3-day cash winnings total $64,800)","$19,600 ","J! Archive - Show #7519, aired 2017-04-27"
Jennifer,"Jennifer Fuquay, a stay-at-home mom from San Antonio, Texas",$0 ,"J! Archive - Show #7519, aired 2017-04-27"
Troy,"Troy Steinmetz, a fundraising manager from Santa Clara, California","$14,601 ","J! Archive - Show #7519, aired 2017-04-27"
Alan,"Alan Lin, a software engineer from Santa Barbara, California (whose 2-day cash winnings total $36,000)","$28,800 ","J! Archive - Show #7518, aired 2017-04-26"
Chelan,"Chelan Allen, a home & family manager from Portland, Oregon","$10,200 ","J! Archive - Show #7518, aired 2017-04-26"
Samm,"Samm Chiszar, a public defender from Brooklyn, New York",$1 ,"J! Archive - Show #7518, aired 2017-04-26"
Alan,"Alan Lin, a software engineer from Santa Barbara, California (whose 1-day cash winnings total $24,000)","$12,000 ","J! Archive - Show #7517, aired 2017-04-25"
Dan,"Dan Atherton, a fundraising data analyst from Quincy, Massachusetts","$3,199 ","J! Archive - Show #7517, aired 2017-04-25"
Meike,"Meike Olin, a retired insurance broker from Wilmington, North Carolina","$1,999 ","J! Archive - Show #7517, aired 2017-04-25"
David,"David Rigsby, a Social Security Administration attorney from Alexandria, Virginia (whose 1-day cash winnings total $8,200)","$6,800 ","J! Archive - Show #7516, aired 2017-04-24"
Emma,"Emma Florio, a library assistant from Hoffman Estates, Illinois","$7,800 ","J! Archive - Show #7516, aired 2017-04-24"
Alan,"Alan Lin, a software engineer from Santa Barbara, California","$24,000 ","J! Archive - Show #7516, aired 2017-04-24"
Nilanka,"Nilanka Seneviratne, an international development nonprofit professional from Washington, D.C. (whose 1-day cash winnings total $7,601)","$3,799 ","J! Archive - Show #7515, aired 2017-04-21"
David,"David Rigsby, a Social Security Administration attorney from Alexandria, Virginia","$8,200 ","J! Archive - Show #7515, aired 2017-04-21"
Meghan,"Meghan Phillips, a library & archives assistant from Lancaster, Pennsylvania",$399 ,"J! Archive - Show #7515, aired 2017-04-21"
Emmett,"Emmett Robinson, an attorney from Greenwich, Ohio (whose 1-day cash winnings total $17,601)","$6,199 ","J! Archive - Show #7514, aired 2017-04-20"
Nilanka,"Nilanka Seneviratne, an international development nonprofit professional from Washington, D.C.","$7,601 ","J! Archive - Show #7514, aired 2017-04-20"
Joanne,"Joanne Huether, an I.T. manager from Farmingdale, New York","$1,300 ","J! Archive - Show #7514, aired 2017-04-20"
Jamie,"Jamie Newland, a loan coordinator from Chicago, Illinois (whose 2-day cash winnings total $29,899)",$800 ,"J! Archive - Show #7513, aired 2017-04-19"
Emmett,"Emmett Robinson, an attorney from Greenwich, Ohio","$17,601 ","J! Archive - Show #7513, aired 2017-04-19"
Diana,"Diana Ascher, a finance system manager from Englewood, New Jersey","$6,799 ","J! Archive - Show #7513, aired 2017-04-19"
Jamie,"Jamie Newland, a loan coordinator from Chicago, Illinois (whose 1-day cash winnings total $15,500)","$14,399 ","J! Archive - Show #7512, aired 2017-04-18"
Kimberly,"Kimberly Bond, a writer and stay-at-home mom from Cumming, Georgia","$10,799 ","J! Archive - Show #7512, aired 2017-04-18"
Ani,"Ani Gupta, an economist from Berkeley, California",$799 ,"J! Archive - Show #7512, aired 2017-04-18"
Deborah,"Deborah Beams, a certified public accountant from Dallas, Texas (whose 2-day cash winnings total $23,300)","$15,500 ","J! Archive - Show #7511, aired 2017-04-17"
Jamie,"Jamie Newland, a loan coordinator from Chicago, Illinois","$14,800 ","J! Archive - Show #7511, aired 2017-04-17"
Kevin,"Kevin McGinty, an account representative from Randolph, Vermont","$9,400 ","J! Archive - Show #7511, aired 2017-04-17"
Deborah,"Deborah Beams, a certified public accountant from Dallas, Texas (whose 1-day cash winnings total $22,000)","$1,300 ","J! Archive - Show #7510, aired 2017-04-14"
Elspeth,"Elspeth Green, a graduate student from Princeton, New Jersey",$599 ,"J! Archive - Show #7510, aired 2017-04-14"
Jim,"Jim Hope, a writer and producer from Tustin, California","$1,199 ","J! Archive - Show #7510, aired 2017-04-14"
Jane,"Jane Joseph, a bond analyst from Wilmington, Delaware (whose 1-day cash winnings total $17,402)","$8,600 ","J! Archive - Show #7509, aired 2017-04-13"
Lee,"Lee Barrow, a history and economics teacher from Denver, Colorado","$13,600 ","J! Archive - Show #7509, aired 2017-04-13"
Deborah,"Deborah Beams, a certified public accountant from Dallas, Texas","$22,000 ","J! Archive - Show #7509, aired 2017-04-13"
Greg,"Greg Chin, a direct service provider from New York, New York (whose 2-day cash winnings total $37,599)","$11,199 ","J! Archive - Show #7508, aired 2017-04-12"
Trevor,"Trevor Mahoney, an actuary from Louisville, Kentucky","$6,000 ","J! Archive - Show #7508, aired 2017-04-12"
Jane,"Jane Joseph, a bond analyst from Wilmington, Delaware","$17,402 ","J! Archive - Show #7508, aired 2017-04-12"
Greg,"Greg Chin, a direct service provider from New York, New York (whose 1-day cash winnings total $16,200)","$21,399 ","J! Archive - Show #7507, aired 2017-04-11"
Steve,"Steve Gavenas, an artist and business consultant from South Pasadena, California",$1 ,"J! Archive - Show #7507, aired 2017-04-11"
Atissa,"Atissa Banuazizi, a writer and communication instructor from Allston, Massachusetts","$2,401 ","J! Archive - Show #7507, aired 2017-04-11"
Pat,"Pat Greiner, a radio copywriter and voiceover announcer from Casper, Wyoming (whose 1-day cash winnings total $14,800)","$16,200 ","J! Archive - Show #7506, aired 2017-04-10"
Greg,"Greg Chin, a direct service provider from New York, New York",$1 ,"J! Archive - Show #7506, aired 2017-04-10"
Maren,"Maren Beazer, a homemaker from Erda, Utah","$9,600 ","J! Archive - Show #7506, aired 2017-04-10"
David,"David Gatewood, a Ph.D. student from Knoxville, Tennessee (whose 1-day cash winnings total $21,600)","$2,400 ","J! Archive - Show #7505, aired 2017-04-07"
Brad,"Brad Shumel, a pharmaceutical medical director from Chappaqua, New York","$2,700 ","J! Archive - Show #7505, aired 2017-04-07"
Pat,"Pat Greiner, a radio copywriter and voiceover announcer from Casper, Wyoming","$14,800 ","J! Archive - Show #7505, aired 2017-04-07"
Nora,"Nora Rowaily, a scoring director from Cincinnati, Ohio (whose 1-day cash winnings total $23,600)","$1,199 ","J! Archive - Show #7504, aired 2017-04-06"
David,"David Gatewood, a Ph.D. student from Knoxville, Tennessee","$21,600 ","J! Archive - Show #7504, aired 2017-04-06"
Maresha,"Maresha Mead, a high school English teacher from Alexandria, Virginia","$20,398 ","J! Archive - Show #7504, aired 2017-04-06"
Abigail,"Abigail Myers, an education administrator from Brooklyn, New York (whose 2-day cash winnings total $39,200)","$23,600 ","J! Archive - Show #7503, aired 2017-04-05"
Amy,"Amy Falconetti, an accountant from Denver, Colorado","$20,400 ","J! Archive - Show #7503, aired 2017-04-05"
Nora,"Nora Rowaily, a scoring director from Cincinnati, Ohio","$13,000 ","J! Archive - Show #7503, aired 2017-04-05"
Abigail,"Abigail Myers, an education administrator from Brooklyn, New York (whose 1-day cash winnings total $29,000)","$10,200 ","J! Archive - Show #7502, aired 2017-04-04"
Jace,"Jace Cochran, a municipal judge from Dayton, Tennessee","$9,601 ","J! Archive - Show #7502, aired 2017-04-04"
Lena,"Lena Liberman, a content editor from Baltimore, Maryland","$2,802 ","J! Archive - Show #7502, aired 2017-04-04"
Eric,"Eric Vernon, a retired government relations specialist from Ottawa, Ontario, Canada (whose 2-day cash winnings total $50,400)","$11,200 ","J! Archive - Show #7501, aired 2017-04-03"
Abigail,"Abigail Myers, an education administrator from Brooklyn, New York","$8,800 ","J! Archive - Show #7501, aired 2017-04-03"
Billy,"Billy Wong, an adjunct professor from Hacienda Heights, California","$21,600 ","J! Archive - Show #7501, aired 2017-04-03"
Eric,"Eric Vernon, a retired government relations specialist from Ottawa, Ontario, Canada (whose 1-day cash winnings total $26,800)","$23,600 ","J! Archive - Show #7500, aired 2017-03-31"
Andrea,"Andrea Palmiter, a strategic data analyst from Woodinville, Washington","$4,000 ","J! Archive - Show #7500, aired 2017-03-31"
Aaron,"Aaron Benor, an online sales director from Rutherford, New Jersey","$7,200 ","J! Archive - Show #7500, aired 2017-03-31"
Julie,"Julie Brannon, a professor of English from Jacksonville, Florida (whose 2-day cash winnings total $47,200)","$22,900 ","J! Archive - Show #7499, aired 2017-03-30"
Brook,"Brook North, an attorney from Raleigh, North Carolina","$5,399 ","J! Archive - Show #7499, aired 2017-03-30"
Eric,"Eric Vernon, a retired government relations specialist from Ottawa, Ontario, Canada","$26,800 ","J! Archive - Show #7499, aired 2017-03-30"
Julie,"Julie Brannon, a professor of English from Jacksonville, Florida (whose 1-day cash winnings total $28,400)","$18,800 ","J! Archive - Show #7498, aired 2017-03-29"
Rachel,"Rachel Levinson-Emley, a literature Ph.D. student from Goleta, California","$13,000 ","J! Archive - Show #7498, aired 2017-03-29"
Tricia,"Tricia Riley, a nurse practitioner from Quincy, Massachusetts","$18,399 ","J! Archive - Show #7498, aired 2017-03-29"
Adam,"Adam Vesterholt, an energy engineer from Brooklyn, New York (whose 1-day cash winnings total $26,801)","$17,601 ","J! Archive - Show #7497, aired 2017-03-28"
Julie,"Julie Brannon, a professor of English from Jacksonville, Florida","$28,400 ","J! Archive - Show #7497, aired 2017-03-28"
Steve,"Steve Asiatico, a network engineer from McKinney, Texas",$5 ,"J! Archive - Show #7497, aired 2017-03-28"
Robert,"Robert Weibezahl, a writer from Westlake Village, California (whose 1-day cash winnings total $11,000)","$11,800 ","J! Archive - Show #7496, aired 2017-03-27"
Adam,"Adam Vesterholt, an energy engineer from Brooklyn, New York","$26,801 ","J! Archive - Show #7496, aired 2017-03-27"
Meral,"Meral Cultu, a nonprofit strategist from Cleveland, Ohio","$13,402 ","J! Archive - Show #7496, aired 2017-03-27"
Stephanie,"Stephanie Garrone-Shufran, a teacher educator from Woburn, Massachusetts (whose 1-day cash winnings total $17,400)",$0 ,"J! Archive - Show #7495, aired 2017-03-24"
Jon,"Jon Beebe, a software developer from New York, New York","$6,799 ","J! Archive - Show #7495, aired 2017-03-24"
Robert,"Robert Weibezahl, a writer from Westlake Village, California","$11,000 ","J! Archive - Show #7495, aired 2017-03-24"
Kevin,"Kevin Shrum, a retired adjunct professor from Fort Collins, Colorado (whose 2-day cash winnings total $33,500)","$5,599 ","J! Archive - Show #7494, aired 2017-03-23"
Robin,"Robin Devereux, an art dealer from Durham, North Carolina","$3,599 ","J! Archive - Show #7494, aired 2017-03-23"
Stephanie,"Stephanie Garrone-Shufran, a teacher educator from Woburn, Massachusetts","$17,400 ","J! Archive - Show #7494, aired 2017-03-23"
Kevin,"Kevin Shrum, a retired adjunct professor from Fort Collins, Colorado (whose 1-day cash winnings total $17,200)","$16,300 ","J! Archive - Show #7493, aired 2017-03-22"
Madeline,"Madeline Wilson, a writer from Akron, Ohio","$1,600 ","J! Archive - Show #7493, aired 2017-03-22"
Emlen,"Emlen Smith, a college professor from Lafayette, Indiana","$6,799 ","J! Archive - Show #7493, aired 2017-03-22"
Rebecca,"Rebecca Wald, a psychologist from Baltimore, Maryland (whose 2-day cash winnings total $43,300)","$17,200 ","J! Archive - Show #7492, aired 2017-03-21"
Adam,"Adam Weissengruber, a librarian from Toronto, Ontario, Canada","$1,800 ","J! Archive - Show #7492, aired 2017-03-21"
Kevin,"Kevin Shrum, a retired adjunct professor from Fort Collins, Colorado","$18,600 ","J! Archive - Show #7492, aired 2017-03-21"
Rebecca,"Rebecca Wald, a psychologist from Baltimore, Maryland (whose 1-day cash winnings total $31,200)",$100 ,"J! Archive - Show #7491, aired 2017-03-20"
Eli,"Eli Rosenberger, a Naval flight officer from Oak Harbor, Washington",$2 ,"J! Archive - Show #7491, aired 2017-03-20"
Christiane,"Christiane Evaskis-Garrett, a content developer from Jackson, Michigan","$14,600 ","J! Archive - Show #7491, aired 2017-03-20"
Grant,"Grant McSheffrey, a software developer from Ottawa, Ontario, Canada (whose 3-day cash winnings total $69,201)","$4,799 ","J! Archive - Show #7490, aired 2017-03-17"
Rebecca,"Rebecca Wald, a psychologist from Baltimore, Maryland","$31,200 ","J! Archive - Show #7490, aired 2017-03-17"
Holly,"Holly Stewart, a tax attorney from Atlanta, Georgia","$5,799 ","J! Archive - Show #7490, aired 2017-03-17"
Grant,"Grant McSheffrey, a software developer from Ottawa, Ontario, Canada (whose 2-day cash winnings total $53,400)","$15,801 ","J! Archive - Show #7489, aired 2017-03-16"
Gretchen,"Gretchen Neidhardt, a librarian from Chicago, Illinois","$9,199 ","J! Archive - Show #7489, aired 2017-03-16"
Steve,"Steve Pecukonis, a trainer and consultant from Brunswick, Maine","$6,800 ","J! Archive - Show #7489, aired 2017-03-16"
Grant,"Grant McSheffrey, a software developer from Ottawa, Ontario, Canada (whose 1-day cash winnings total $23,400)","$30,000 ","J! Archive - Show #7488, aired 2017-03-15"
Elisabeth,"Elisabeth Lancaster, a stay-at-home mom from Winter Park, Florida","$6,600 ","J! Archive - Show #7488, aired 2017-03-15"
Brendon,"Brendon Stanton, an investigator from Binghamton, New York","$6,601 ","J! Archive - Show #7488, aired 2017-03-15"
Jessica,"Jessica Johnston, a college admission officer from Pasadena, California (whose 2-day cash winnings total $40,300)","$23,200 ","J! Archive - Show #7487, aired 2017-03-14"
Lolita,"Lolita Welch, an independent contractor from Fort Worth, Texas","$12,427 ","J! Archive - Show #7487, aired 2017-03-14"
Grant,"Grant McSheffrey, a software developer from Ottawa, Ontario, Canada","$23,400 ","J! Archive - Show #7487, aired 2017-03-14"
Jessica,"Jessica Johnston, a college admission officer from Pasadena, California (whose 1-day cash winnings total $20,400)","$19,900 ","J! Archive - Show #7486, aired 2017-03-13"
Bonnie,"Bonnie Harris, an English instructor and administrator from New York, New York","$17,201 ","J! Archive - Show #7486, aired 2017-03-13"
Michael,"Michael Roy, a controls engineer from New Orleans, Louisiana","$9,201 ","J! Archive - Show #7486, aired 2017-03-13"
Annie,"Annie Marggraf, an unemployed bartender from Vancouver, Washington (whose 2-day cash winnings total $51,200)","$8,199 ","J! Archive - Show #7485, aired 2017-03-10"
Adam,"Adam Lapetina, a partnerships editor from Brooklyn, New York","$11,600 ","J! Archive - Show #7485, aired 2017-03-10"
Jessica,"Jessica Johnston, a college admission officer from Pasadena, California","$20,400 ","J! Archive - Show #7485, aired 2017-03-10"
Annie,"Annie Marggraf, an unemployed bartender from Vancouver, Washington (whose 1-day cash winnings total $20,000)","$31,200 ","J! Archive - Show #7484, aired 2017-03-09"
Rachel,"Rachel Moyer, an operations support specialist from Charlotte, North Carolina","$1,199 ","J! Archive - Show #7484, aired 2017-03-09"
Serena,"Serena Kay Tibbitt, an attorney from Miami, Florida",$1 ,"J! Archive - Show #7484, aired 2017-03-09"
Todd,"Todd DeFilippi, a software engineer from Mountain View, California (whose 1-day cash winnings total $24,583)","$2,000 ","J! Archive - Show #7483, aired 2017-03-08"
John Paul,"John Paul Gove, a social media marketer and go-go dancer from Laverne, California","$3,600 ","J! Archive - Show #7483, aired 2017-03-08"
Annie,"Annie Marggraf, an unemployed bartender from Vancouver, Washington","$20,000 ","J! Archive - Show #7483, aired 2017-03-08"
Alison,"Alison Maguire-Powell, a middle school band director from Denton, Texas (whose 1-day cash winnings total $23,200)",$0 ,"J! Archive - Show #7482, aired 2017-03-07"
Shawn,"Shawn Friend, a law library resource center director from Phoenix, Arizona","$9,200 ","J! Archive - Show #7482, aired 2017-03-07"
Todd,"Todd DeFilippi, a software engineer from Mountain View, California","$24,583 ","J! Archive - Show #7482, aired 2017-03-07"
Rob,"Rob Liguori, a research editor from Brooklyn, New York (whose 4-day cash winnings total $72,601)","$23,200 ","J! Archive - Show #7481, aired 2017-03-06"
Alison,"Alison Maguire-Powell, a middle school band director from Denton, Texas","$1,599 ","J! Archive - Show #7481, aired 2017-03-06"
Ernie,"Ernie Sykes, a high school English teacher from Nolensville, Tennessee","$14,800 ","J! Archive - Show #7481, aired 2017-03-06"
Rob,"Rob Liguori, a research editor from Brooklyn, New York (whose 3-day cash winnings total $58,601)","$14,000 ","J! Archive - Show #7480, aired 2017-03-03"
Trish,"Trish Floyd, an actuary from Chicago, Illinois","$4,800 ","J! Archive - Show #7480, aired 2017-03-03"
Jeff,"Jeff Brown, a grant writer from Broken Arrow, Oklahoma","$9,601 ","J! Archive - Show #7480, aired 2017-03-03"
Rob,"Rob Liguori, a research editor from Brooklyn, New York (whose 2-day cash winnings total $40,001)","$8,000 ","J! Archive - Show #7479, aired 2017-03-02"
Nil,"Nil Jones, a developer consultant from Portland, Oregon","$17,600 ","J! Archive - Show #7479, aired 2017-03-02"
Crista,"Crista Calderon, an instructional technology specialist from Spokane, Washington","$10,000 ","J! Archive - Show #7479, aired 2017-03-02"
Rob,"Rob Liguori, a research editor from Brooklyn, New York (whose 1-day cash winnings total $19,601)","$20,400 ","J! Archive - Show #7478, aired 2017-03-01"
Kate,"Kate Edwards, a tech startup founder from Venice, California",$0 ,"J! Archive - Show #7478, aired 2017-03-01"
Joe,"Joe Friedman, a family medical physician from Charlotte, North Carolina","$5,800 ","J! Archive - Show #7478, aired 2017-03-01"
Kirstin,"Kirstin Cutts, a graduate student from Austin, Texas (whose 4-day cash winnings total $49,403)","$19,601 ","J! Archive - Show #7477, aired 2017-02-28"
Rob,"Rob Liguori, a research editor from Brooklyn, New York","$9,800 ","J! Archive - Show #7477, aired 2017-02-28"
Leanne,"Leanne Vincent, a geospatial analyst from Calgary, Alberta, Canada","$12,600 ","J! Archive - Show #7477, aired 2017-02-28"
Kirstin,"Kirstin Cutts, a graduate student from Austin, Texas (whose 3-day cash winnings total $41,202)","$8,201 ","J! Archive - Show #7476, aired 2017-02-27"
Sam,"Sam Oglesby, a software support rep from Wilmington, Massachusetts","$4,599 ","J! Archive - Show #7476, aired 2017-02-27"
Amy,"Amy Sumner, an attorney from Denver, Colorado","$3,199 ","J! Archive - Show #7476, aired 2017-02-27"
Lilly,"Lilly Chin, a senior at MIT from Decatur, Georgia (subtotal of $20,400)","$20,400 ","J! Archive - Show #7475, aired 2017-02-24"
Gary,"Gary Tse, a freshman at the United States Naval Academy from Ellicott City, Maryland (subtotal of $24,945)","$6,604 ","J! Archive - Show #7475, aired 2017-02-24"
Viraj,"Viraj Mehta, a junior at Stanford University from Austin, Texas (subtotal of $8,482)",$0 ,"J! Archive - Show #7475, aired 2017-02-24"
Lilly,"Lilly Chin, a senior at MIT from Decatur, Georgia","$24,945 ","J! Archive - Show #7474, aired 2017-02-23"
Gary,"Gary Tse, a freshman at the United States Naval Academy from Ellicott City, Maryland","$8,482 ","J! Archive - Show #7474, aired 2017-02-23"
Viraj,"Viraj Mehta, a junior at Stanford University from Austin, Texas","$14,800 ","J! Archive - Show #7474, aired 2017-02-23"
Gary,"Gary Tse, a freshman at the United States Naval Academy from Ellicott City, Maryland","$15,989 ","J! Archive - Show #7473, aired 2017-02-22"
Netanel,"Netanel Paley, a senior at Yeshiva University from Teaneck, New Jersey",$0 ,"J! Archive - Show #7473, aired 2017-02-22"
Mari,"Mari Hanley, a junior at Stetson University from Lighthouse Point, Florida","$5,000 ","J! Archive - Show #7473, aired 2017-02-22"
Viraj,"Viraj Mehta, a junior at Stanford University from Austin, Texas",$100 ,"J! Archive - Show #7472, aired 2017-02-21"
Mohan,"Mohan Malhotra, a freshman at NYU from Wilmington, Delaware","$14,400 ","J! Archive - Show #7472, aired 2017-02-21"
Clarissa,"Clarissa Santori, a senior at Northeastern University from Ellicott City, Maryland","$14,200 ","J! Archive - Show #7472, aired 2017-02-21"
Julia,"Julia Marsan, a senior at Georgetown University from Brookfield, Wisconsin","$10,000 ","J! Archive - Show #7471, aired 2017-02-20"
Lilly,"Lilly Chin, a senior at MIT from Decatur, Georgia","$22,801 ","J! Archive - Show #7471, aired 2017-02-20"
Alex,"Alex Bourzutschky, a junior at Caltech from Potomac, Maryland",$0 ,"J! Archive - Show #7471, aired 2017-02-20"
Zach,"Zach Atwell, a senior from the University of Kentucky from Lexington, Kentucky","$12,800 ","J! Archive - Show #7470, aired 2017-02-17"
Julia,"Julia Marsan, a senior at Georgetown University from Brookfield, Wisconsin","$24,400 ","J! Archive - Show #7470, aired 2017-02-17"
Gary,"Gary Tse, a freshman at the United States Naval Academy from Ellicott City, Maryland","$22,845 ","J! Archive - Show #7470, aired 2017-02-17"
Allison,"Allison Holley, a senior at Lawrence University from Racine, Wisconsin","$13,000 ","J! Archive - Show #7469, aired 2017-02-16"
Mohan,"Mohan Malhotra, a freshman at NYU from Wilmington, Delaware","$15,600 ","J! Archive - Show #7469, aired 2017-02-16"
Corey,"Corey Schmalzle, a senior at Lehigh University from Hawley, Pennsylvania","$11,000 ","J! Archive - Show #7469, aired 2017-02-16"
Alex,"Alex Bourzutschky, a junior at Caltech from Potomac, Maryland","$23,599 ","J! Archive - Show #7468, aired 2017-02-15"
Mari,"Mari Hanley, a junior at Stetson University from Lighthouse Point, Florida","$16,201 ","J! Archive - Show #7468, aired 2017-02-15"
