Nickname,Player Details,Final Score,Show Info
Kate,"Kate Rowland, a family doctor from Chicago, Illinois (whose 1-day cash winnings total $16,401)","$5,400 ","J! Archive - Show #6099, aired 2011-03-03"
Cecilia,"Cecilia Boudreau, a lawyer for a nonprofit from Washington, D.C.","$3,800 ","J! Archive - Show #6099, aired 2011-03-03"
Carl,"Carl Bradshaw, a financial manager from St. Louis, Missouri","$11,599 ","J! Archive - Show #6099, aired 2011-03-03"
Raynell,"Raynell Cooper, a senior from Rockville, Maryland (subtotal of $23,600)","$21,600 ","J! Archive - Show #6098, aired 2011-03-02"
Kailyn,"Kailyn LaPorte, a sophomore from Decatur, Georgia (subtotal of $23,800)","$18,800 ","J! Archive - Show #6098, aired 2011-03-02"
Raya,"Raya Elias-Pushett, a junior from Aventura, Florida (subtotal of $15,851)","$5,000 ","J! Archive - Show #6098, aired 2011-03-02"
Raynell,"Raynell Cooper, a senior from Rockville, Maryland","$23,600 ","J! Archive - Show #6097, aired 2011-03-01"
Kailyn,"Kailyn LaPorte, a sophomore from Decatur, Georgia","$23,800 ","J! Archive - Show #6097, aired 2011-03-01"
Raya,"Raya Elias-Pushett, a junior from Aventura, Florida","$15,851 ","J! Archive - Show #6097, aired 2011-03-01"
Nikhil,"Nikhil Desai, a junior from Fremont, California","$9,601 ","J! Archive - Show #6096, aired 2011-02-28"
Raynell,"Raynell Cooper, a senior from Rockville, Maryland","$32,205 ","J! Archive - Show #6096, aired 2011-02-28"
Kate,"Kate Wadman, a junior from Tucson, Arizona","$22,650 ","J! Archive - Show #6096, aired 2011-02-28"
Erin,"Erin Hart, a junior from Benton Harbor, Michigan","$17,600 ","J! Archive - Show #6095, aired 2011-02-25"
Kailyn,"Kailyn LaPorte, a sophomore from Decatur, Georgia","$25,642 ","J! Archive - Show #6095, aired 2011-02-25"
Lindsey,"Lindsey Thiesfeld, a sophomore from Clarendon Hills, Illinois","$1,400 ","J! Archive - Show #6095, aired 2011-02-25"
Brandon,"Brandon Welch, a senior from Grayson, Georgia",$0 ,"J! Archive - Show #6094, aired 2011-02-24"
Idrees,"Idrees Kahloon, a junior from Lexington, Kentucky",$0 ,"J! Archive - Show #6094, aired 2011-02-24"
Raya,"Raya Elias-Pushett, a junior from Aventura, Florida","$5,660 ","J! Archive - Show #6094, aired 2011-02-24"
Raynell,"Raynell Cooper, a senior from Rockville, Maryland","$16,900 ","J! Archive - Show #6093, aired 2011-02-23"
